omitted_cfg,R1,R2,R3,R4,R5,R6
1,0.4805023677211319,0.7022191914088255,0.8361895582868224,0.9377933138529333,1.0459683657125924,1.1348600026263123
2,0.48046989306749904,0.7020748310355355,0.8364987754242623,0.9381377333701352,1.0454726187448389,1.1368879267882126
3,0.48050644521324803,0.7022535279119949,0.8365280039812582,0.9382928287584469,1.045958272825917,1.1372281609986632
4,0.48050577844943954,0.7021911797082195,0.8358905793223054,0.938293805607052,1.0463801497615526,1.1361720730249736
5,0.4804900544825004,0.7024255614607617,0.8364659812468132,0.9376996806070087,1.046885846116663,1.1344875774887593
6,0.4805106993326549,0.7024028080292957,0.8369880723261833,0.9385843331389445,1.0443488427354208,1.1358150590689948
7,0.48055206886226515,0.702323956478196,0.8366619469964912,0.938325573725149,1.045896397262526,1.1364941944531228
8,0.48053363001985694,0.7021193582063675,0.8359189570217234,0.9378835514573554,1.0461574548515673,1.1369037962232424
9,0.48057401737226424,0.7019511834357612,0.8365472754287229,0.9384696924133106,1.0457354410681106,1.1373674451189428
10,0.4805777384488108,0.7024395198648737,0.8361657189914808,0.938066347009265,1.0457627289003713,1.1355608263396495
11,0.4805320163429511,0.7022745534846034,0.835946828193178,0.9388381389770533,1.046374560890056,1.1361495054884685
12,0.48041906002276885,0.7023203878345351,0.8366472830644752,0.938278195902102,1.0449535314165053,1.1356889095151261
13,0.48059233285686076,0.7022252603661184,0.8361575114052925,0.9381315850500489,1.0458123423037906,1.1361708217347066
14,0.4804703689005551,0.7020911835073967,0.8361336999924743,0.9380011358776109,1.0446492312675926,1.1349141504372118
15,0.4804377154034224,0.7019676485894792,0.8364349716683577,0.9380003924825308,1.0453283556951307,1.1351391373157413
16,0.4805043666921106,0.7023059995161,0.836828382376642,0.9371231257857597,1.0453306316029884,1.1364501045307451
17,0.4805184717259472,0.7022552137165405,0.836401471941223,0.9381129501838322,1.0455269372919118,1.1342620440492535
18,0.480477439385796,0.7023754611396379,0.8362093686281691,0.9378824547775115,1.0461517060820325,1.1365686709824045
19,0.4804077582645977,0.7023165360700169,0.8362292719311342,0.9383294610596526,1.0461702088510283,1.1351919643289439
20,0.48046145439872107,0.7022257698596486,0.8366766649035464,0.9375870710266451,1.0479134301844484,1.1381834920665115
21,0.48054823422846654,0.7021685921306406,0.8366878251034744,0.9383139692559818,1.046398295822076,1.1372206467259078
22,0.48053956529181097,0.7022373048009619,0.8366998640888954,0.9379016348305397,1.0454401720115527,1.134296352678358
23,0.48048243782864747,0.7022920792073004,0.836311395480454,0.9379659005285637,1.045781888039978,1.1377880738422503
24,0.480597998990322,0.7021862934149778,0.8366673625907673,0.9377388130059626,1.0459145641970886,1.1355623480491217
25,0.4804523671782207,0.7021798816415339,0.8363584466073938,0.9387824976797066,1.0455728580733117,1.1346747991981216
26,0.48050818434534925,0.7022439165420957,0.8364501163572771,0.9382618315673223,1.0457070053728812,1.13485518903665
27,0.4805020277680767,0.7023494971048567,0.8363737400716058,0.9370218057009229,1.0450368611491427,1.1364987316571171
28,0.48045784116832574,0.7022444930494953,0.8366571754021604,0.9381449313482523,1.045281639115142,1.1364253143689795
29,0.48047890855605013,0.7024456486617386,0.8364641963677806,0.9384825602069203,1.045728220792523,1.1352582221984682
30,0.4804641059209376,0.7023859750539959,0.8362253609748082,0.9370636714368238,1.0450612201318388,1.1351081299675119
31,0.48038978329761206,0.7021369413135722,0.8366053364020534,0.9383540185659842,1.0456087826706484,1.1360096481321666
32,0.48053788076729337,0.7019152497895086,0.8360625634730949,0.9378274207687383,1.0447597776634991,1.1346051700694941
33,0.4803905173574031,0.7022570227125459,0.8363148896757444,0.9379303206966071,1.0464586490064003,1.1346891972776783
34,0.48046892866774193,0.702180049188027,0.8362734868287852,0.9380635766912444,1.0463371926981768,1.1354051951275863
35,0.4805290441393394,0.7023951098847788,0.836696639796688,0.9370846486752433,1.0456930733464163,1.135729155231762
36,0.4805214935220014,0.7020696792330402,0.8362467450154016,0.9381991439903206,1.0460415272357588,1.1364247994612537
37,0.48047159498039194,0.702503988444316,0.8369144794665716,0.9381836289111499,1.045044845152795,1.1355366976881047
38,0.4805309763323636,0.7021737554691603,0.8365570297637485,0.9382396864178425,1.0460562762568897,1.137583905847674
39,0.4804826210038006,0.702261486814949,0.8368017793847381,0.938546179658006,1.045053716640607,1.137128786784913
40,0.4805465478383928,0.7023524369660736,0.8368490364688207,0.9387849652837087,1.046418623113847,1.1374878705778082
41,0.48050143717385657,0.702448160093364,0.8366070323547314,0.9385829085751202,1.047128009119196,1.1369180657025317
42,0.48041869133880877,0.7020752334143068,0.8363396391027411,0.9381165022215042,1.04504874550445,1.1364899251633638
43,0.48052469016681554,0.7021848432383571,0.8363316884484651,0.9378293405593785,1.044171996984197,1.136208088986206
44,0.48043682038528074,0.7022436591431681,0.8366452993091298,0.9381538978964499,1.0454904347495084,1.1364082819396417
45,0.4804833465671751,0.7023212900279843,0.837089766730565,0.9379104664306611,1.0457733876629451,1.1357025461011157
46,0.48052582730267857,0.7022779110896235,0.8364109607167398,0.9382589642890614,1.0468626637775211,1.1365329235200656
47,0.4805018965802157,0.7024227584567303,0.8368781918080326,0.9377660560027211,1.0462639887471004,1.1375040729079362
